ref	text	macula_lemma	macula_eng	macula_lxx_greek	hcb	cu2010s	cu2010t	rso94	sruv06	tbi	lsg10	rv09	tpb08	esvuk16	arbnav	tglulb	bsb	engulb	bbc
GEN 3:20!5	חַוָּ֑ה	חַוָּה	Eve	ζωή	Hawwa’u	夏娃	夏娃	Ева	Hawa	hawa	ve	Eva		Eve	حَوَّاءَ	Eva	Eve	Eve	Hawa
GEN 3:21!2	יְהוָ֨ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 3:22!2	יְהוָ֣ה	יהוה	LORD		Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 3:23!2	יְהוָ֥ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD		Yahweh	LORD	Yahweh	Jahowa
GEN 3:23!5	עֵ֑דֶן	עֵ֫דֶן	Eden	τρυφῆς	Eden	伊甸园	伊甸園	Едемского	Edeni	eden	Éden	Edén	iden	Eden	عَدْنٍ	Eden	Eden	Eden	Eden
GEN 3:24!7	עֵ֜דֶן	עֵ֫דֶן	Eden	τρυφῆς	Eden	伊甸园	伊甸園	Едемского	bustani ya Edeni	eden	Éden	Edén	iden	Eden	عَدْنٍ	Eden	Eden	Eden	Eden
GEN 4:1!4	חַוָּ֣ה	חַוָּה	Eve	ευαν	Hawwa’u	夏娃	夏娃	Еву	Hawa	hawa	ve	Eva		Eve	حَوَّاءَ	Eva	Eve	Eve	Hawa
GEN 4:1!9	קַ֔יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каина	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينَ	Cain	Cain	Cain	Kain
GEN 4:1!14	יְהוָֽה	יהוה	LORD	θεοῦ	Ubangiji	耶和华	耶和華	Господа	msaada wa BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
GEN 4:2!6	הָ֑בֶל	הֶ֫בֶל	Abel	αβελ	Habila	亚伯	亞伯	Авеля	Habili	habel		Abel	abel	Abel	هَابِيلَ	Abel	Abel	Abel	Abel
GEN 4:2!8	הֶ֨בֶל֙	הֶ֫בֶל	Abel	αβελ	Habila	亚伯	亞伯	Авель	Habili	Habel		Abel		Abel	هَابِيلَ	Abel	Abel	Abel	Abel
GEN 4:2!11	קַ֕יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каин	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينُ	Cain	Cain	Cain	Kain
GEN 4:3!5	קַ֜יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каин	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينُ	Cain	Cain	Cain	Kain
GEN 4:3!9	יהוָֽה	יהוה	LORD	κυρίῳ	Ubangiji	耶和华	耶和華	Господу	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	لِلرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
GEN 4:4!1	הֶ֨בֶל	הֶ֫בֶל	Abel	αβελ	Habila	亚伯	亞伯	Авель	Habili	habel		Abel	abel	Abel	هَابِيلُ	Abel	Abel	Abel	Abel
GEN 4:4!9	יְהוָ֔ה	יהוה	LORD	θεὸς	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 4:4!11	הֶ֖בֶל	הֶ֫בֶל	Abel	αβελ	Habila	亚伯	亞伯	Авеля	Habili	Habel		Abel		Abel	هَابِيلُ	Abel	Abel	Abel	Abel
GEN 4:5!2	קַ֥יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каина	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينَ	Cain	Cain	Cain	Kain
GEN 4:5!8	קַ֨יִן֙	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каин	Kaini	Kain	Caïn	Caín		Cain	قَايِينَ	Cain	Cain	Cain	Kain
GEN 4:6!2	יְהוָ֖ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 4:6!4	קָ֑יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каину	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينَ	Cain	Cain	Cain	Kain
GEN 4:8!2	קַ֖יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каин	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينُ	Cain	Cain	Cain	Kain
GEN 4:8!4	הֶ֣בֶל	הֶ֫בֶל	Abel	αβελ	Habila	亚伯	亞伯	Авелю	Habili	habel		Abel	abel	Abel	بِالْوُدِّ	Abel	Abel	Abel	Abel
GEN 4:8!10	קַ֛יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каин	Kaini	Kain	Caïn	Caín		Cain	قَايِينُ	Cain	Cain	Cain	Kain
GEN 4:8!12	הֶ֥בֶל	הֶ֫בֶל	Abel	αβελ	Habila	亚伯	亞伯	Авеля	Habili	Habel		Abel		Abel	بِالْوُدِّ	Abel	Abel	Abel	Abel
GEN 4:9!2	יְהוָה֙	יהוה	LORD	θεὸς	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 4:9!4	קַ֔יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каину	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينَ	Cain	Cain	Cain	Kain
GEN 4:9!6	הֶ֣בֶל	הֶ֫בֶל	Abel	αβελ	Habila	亚伯	亞伯	Авель	Habili	habel		Abel	abel	Abel	هَابِيلُ	Abel	Abel	Abel	Abel
GEN 4:13!2	קַ֖יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каин	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينُ	Cain	Cain	Cain	Kain
GEN 4:13!4	יְהוָ֑ה	יהוה	LORD		Ubangiji	耶和华	耶和華	Господу	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	لِلرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
GEN 4:15!3	יְהוָ֗ה	יהוה	LORD	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 4:15!7	קַ֔יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каина	Kaini	Kain	Caïn	Caín	kein	Cain	بِسَبْعَةِ	Cain	Cain	Cain	Kain
GEN 4:15!11	יְהוָ֤ה	יהוה	Lord	κύριος	Ubangiji	耶和华	耶和華	Господь	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبُّ	Yahweh	LORD	Yahweh	Jahowa
GEN 4:15!12	קַ֨יִן֙	קַ֫יִן	Cain	σημεῖον	Kayinu	该隐	該隱	Каину	Kaini	Kain	Caïn	Caín		Cain	بِسَبْعَةِ	Cain	Cain	Cain	Kain
GEN 4:16!2	קַ֖יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каин	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينُ	Cain	Cain	Cain	Kain
GEN 4:16!4	יְהוָ֑ה	יהוה	LORD’s	θεοῦ	Ubangiji	耶和华	耶和華	Господня	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
GEN 4:16!7	נ֖וֹד	נוֹד	Nod	ναιδ	Nod	挪得	挪得	Нод	Nodi	nod	Nod	Nod	raun nabaut	Nod	نُودٍ	Nod	Nod	Nod	Nod
GEN 4:16!9	עֵֽדֶן	עֵ֫דֶן	Eden	εδεμ	Eden	伊甸	伊甸	Едема	Edeni	eden	Éden	Edén	iden	Eden	عَدْنٍ	Eden	Eden	Eden	porlak
GEN 4:17!2	קַ֨יִן֙	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каин	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينُ	Cain	Cain	Cain	Kain
GEN 4:17!8	חֲנ֑וֹךְ	חֲנוֹךְ	Enoch	ενωξ	Enok	以诺	以諾	Еноха	Henoko	henokh	Hénoc	Enoc	enok	Enoch	حَنُوكَ	Enoc	Enoch	Enoch	Hanok
GEN 4:17!17	חֲנֽוֹךְ	חֲנוֹךְ	Enoch	ενωξ	Enok	以诺	以諾	Енох	Henoko	henokh	Hénoc	Enoc	enok	Enoch	حَنُوكَ	Enoc	Enoch	Enoch	Hanok
GEN 4:18!2	חֲנוֹךְ֙	חֲנוֹךְ	Enoch	ενωξ	Enok	以诺	以諾	Еноха	Henoko	henokh	Hénoc	Enoc	enok	Enoch		Enoc	Enoch	Enoch	Hanok
GEN 4:18!4	עִירָ֔ד	עִירָד	Irad	γαιδαδ	Irad	以拿	以拿	Ирад	Iradi	irad	Irad	Irad	irat	Irad		Irad	Irad	Irad	Irad
GEN 4:18!5	עִירָ֕ד	עִירָד	Irad	γαιδαδ	Irad	以拿	以拿	Ирад	Iradi	Irad	Irad	Irad		Irad		Irad	Irad	Irad	Irad
GEN 4:18!8	מְחֽוּיָאֵ֑ל	מְחוּיָאֵל	Mehujael		Mehujayel	米户雅利	米戶雅利	Мехиаеля	Mehuyaeli	mehuyael	Mehujaël	Mehujael	mehujael	Mehujael	حَنُوكُ	Mehujael, Metusael	Mehujael	Mehujael	Mehuyael
GEN 4:18!9	מְחִיּיָאֵ֗ל	מְחוּיָאֵל	Mehujael	μαιηλ	Mehujayel	米户雅利	米戶雅利	Мехиаель	Mehuyaeli	Mehuyael		Mehujael		Mehujael	حَنُوكُ	Mehujael, Metusael	Mehujael	Mehujael	Mehuyael
GEN 4:18!12	מְת֣וּשָׁאֵ֔ל	מְתוּשָׁאֵל	Methushael		Metushayel	玛土撒利	瑪土撒利	Мафусала	Methushaeli	metusael	Metuschaël	Metusael		Methushael	عِيرَادُ	Mehujael	Methusael	Methushael	Irad
GEN 4:18!13	מְתוּשָׁאֵ֖ל	מְתוּשָׁאֵל	Methushael	μαθουσαλα	Metushayel	玛土撒利	瑪土撒利	Мафусал	Methushaeli	Metusael	Metuschaël	Metusael		Methushael	عِيرَادُ	Mehujael	Methusael	Methushael	Irad
GEN 4:18!16	לָֽמֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	Lamek	拉麦	拉麥	Ламеха	Lameki	lamekh	Lémec	Lamec	lamek	Lamech	لاَمَكَ	Lamec	Lamech	Lamech	Lamek
GEN 4:19!3	לֶ֖מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	Lamek	拉麦	拉麥	Ламех	Lameki	lamekh	Lémec	Lamec	lamek	Lamech	لاَمَكُ	Lamec	Lamech	Lamech	Lamek
GEN 4:19!8	עָדָ֔ה	עָדָה	Adah	αδα	Ada	亚大	亞大	Ада	Ada	Ada	Ada	Ada	ada	Adah	عَادَةُ	Ada	Adah	Adah	Ada
GEN 4:19!11	צִלָּֽה	צִלָּה	Zillah	σελλα	Zilla	洗拉	洗拉	Цилла	Sila	zila	Tsilla	Zila		Zillah	صِلَّةُ	Zilla	Zillah	Zillah	Zilla
GEN 4:20!2	עָדָ֖ה	עָדָה	Adah	αδα	Ada	亚大	亞大	Ада	Ada	Ada	Ada	Ada	ada	Adah	عَادَةُ	Ada	Adah	Adah	Ada
GEN 4:20!4	יָבָ֑ל	יָבָל	Jabal		Yabal	雅八	雅八	Иавала	Yabali	yabal		Jabal	jabal	Jabal	كُلًّا	Jabal	Jabal	Jabal	Jabal
GEN 4:21!3	יוּבָ֑ל	יוּבָ֑ל	Jubal	ιουβαλ	Yubal	犹八	猶八	Иувал	aliitwa Yubali	yubal		Jubal	jubal	Jubal	يُوبَالَ	Jubal	Jubal	Jubal	Jubal
GEN 4:22!1	צִלָּ֣ה	צִלָּה	Zillah	σελλα	Zilla	洗拉	洗拉	Цилла	Sila	zila	Tsilla	Zila		Zillah	صِلَّةُ	Zilla	Zillah	Zillah	Zilla
GEN 4:22!16	נַֽעֲמָֽה	נַעֲמָה	Naamah	νοεμα	Na’ama	拿玛	拿瑪	Ноема	Naama	naama	Naama	Naama	nama	Naamah	نَعْمَةَ	Naama	Naamah	Naamah	Naema
GEN 4:23!2	לֶ֜מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	Lamek	拉麦	拉麥	Ламех	Lameki	lamekh	Lémec	Lamec	lamek	Lamech	لاَمَكُ	Lamec	Lamech	Lamech	Lamek
GEN 4:23!4	עָדָ֤ה	עָדָה	Adah	αδα	Ada	亚大	亞大	Ада	Ada	Ada	Ada	Ada	ada	Adah	يَاعَادَةُ	Ada	Adah	Adah	Ada
GEN 4:23!5	צִלָּה֙	צִלָּה	Zillah	σελλα	Zilla	洗拉	洗拉	Цилла	Sila	zila	Tsilla	Zila		Zillah	وَصِلَّةُ	Zilla	Zillah	Zillah	Zilla
GEN 4:23!9	לֶ֔מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	Lamek	拉麦	拉麥	Ламеховы	Lameki	Lamekh	Lémec	Lamec		Lamech	لاَمَكُ	Lamec	Lamech	Lamech	Lamek
GEN 4:24!4	קָ֑יִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каина	Kaini	kain	Caïn	Caín	kein	Cain	يُنْتَقَمُ	Cain	Cain	Cain	Kain
GEN 4:24!5	לֶ֖מֶךְ	לֶ֫מֶךְ	Lamech	λαμεξ	Lamek	拉麦	拉麥	Ламеха	Hakika Lameki atalipiwa	lamekh	Lémec	Lamec		Lamech	يُنْتَقَمُ	Lamec	Lamech	Lamech	Lamek
GEN 4:25!2	אָדָ֥ם	אָדָם	Adam	αδαμ	Adamu	亚当	亞當	Адам	Adamu	adam	Adam	Adán	adam	Adam	آدَمُ	Adan	Adam	Adam	Adam
GEN 4:25!11	שֵׁ֑ת	שֵׁת	Seth	σηθ	Set	塞特	塞特	Сиф	Sethi	set		Set		Seth	شِيثاً	Set	Seth	Seth	Set
GEN 4:25!19	הֶ֔בֶל	הֶ֫בֶל	Abel	αβελ	Habila	亚伯	亞伯	Авеля	pa Habili	habel		Abel	abel	Abel	هَابِيلَ	Abel	Abel	Abel	Abel
GEN 4:25!22	קָֽיִן	קַ֫יִן	Cain	καιν	Kayinu	该隐	該隱	Каин	Kaini	kain	Caïn	Caín	kein	Cain	قَايِينُ	Cain	Cain	Cain	Kain
GEN 4:26!1	שֵׁ֤ת	שֵׁת	Seth	σηθ	Set	塞特	塞特	Сифа	Sethi	set		Set		Seth	لِشِيثٍ	Set	Seth	Seth	Set
GEN 4:26!9	אֱנ֑וֹשׁ	אֱנוֹשׁ	Enosh	ενως	Enosh	以挪士	以挪士	Енос	Enoshi	enos		Enós	enos	Enosh	أَنُوشَ	Enos	Enosh	Enosh	Enos
GEN 4:26!14	יְהוָֽה	יהוה	LORD	κυρίου	Ubangiji	耶和华	耶和華	Господа	BWANA	tuhan	Éternel	Jehová	bikpela	LORD	الرَّبِّ	Yahweh	LORD	Yahweh	Jahowa
GEN 5:1!4	אָדָ֑ם	אָדָם	Adam	ἀνθρώπων	Adamu	亚当	亞當	Адама	vya Adamu	adam	homme	hombre	adam	Adam	آدَمَ	Adan	Adam	Adam	Adam
GEN 5:3!2	אָדָ֗ם	אָדָם	Adam	αδαμ	Adamu	亚当	亞當	Адам	Adamu	adam		Adán	adam	Adam	آدَمَ	Adan	Adam	Adam	Adam
GEN 5:3!12	שֵֽׁת	שֵׁת	Seth	σηθ	Set	塞特	塞特	Сиф	Sethi	set		Set		Seth	شِيثاً	Set	Seth	Seth	Set
GEN 5:4!3	אָדָ֗ם	אָדָם	Adam	αδαμ	Adamu	亚当	亞當	Адама	Adamu	adam		Adán	adam	Adam	آدَمُ	Adan	Adam	Adam	Adam
GEN 5:4!7	שֵׁ֔ת	שֵׁת	Seth	σηθ	Set	塞特	塞特	Сифа	Sethi	set		Set		Seth	شِيثٍ	Set	Seth	Seth	Set
GEN 5:5!4	אָדָם֙	אָדָם	Adam	αδαμ	Adamu	亚当	亞當	Адамовой	Adamu	adam		Adán	adam	Adam	آدَمُ	Adan	Adam	Adam	Adam
GEN 5:6!2	שֵׁ֕ת	שֵׁת	Seth	σηθ	Set	塞特	塞特	Сиф	Sethi	set		Set		Seth	شِيثٍ	Set	Seth	Seth	Set
GEN 5:6!9	אֱנֽוֹשׁ	אֱנוֹשׁ	Enosh		Enosh	以挪士	以挪士	Еноса	Enoshi	enos		Enós	enos	Enosh	أَنُوشَ	Enos	Enosh	Enosh	Enos
GEN 5:7!2	שֵׁ֗ת	שֵׁת	Seth	σηθ	Set	塞特	塞特	Сиф	Sethi	set		Set		Seth	شِيثٌ		Seth		Set
GEN 5:7!6	אֱנ֔וֹשׁ	אֱנוֹשׁ	Enosh		Enosh	以挪士	以挪士	Еноса	Enoshi	enos		Enós		Enosh	ثَمَانِيَ	Enos	Enosh	Enosh	Enos
GEN 5:8!4	שֵׁ֔ת	שֵׁת	Seth	σηθ	Set	塞特	塞特	Сифовых	Sethi	set		Set		Seth	شِيثٌ	Set	Seth	Seth	Set
GEN 5:9!2	אֱנ֖וֹשׁ	אֱנוֹשׁ	Enosh	ενως	Enosh	以挪士	以挪士	Енос	Enoshi	enos		Enós	enos	Enosh	أَنُوشَ	Enos	Enosh	Enosh	Enos
GEN 5:9!7	קֵינָֽן	קֵינָן	Kenan	καιναν	Kenan	该南	該南	Каинана	Kenani	kenan	Kénan	Cainán	kenan	Kenan	قِينَانَ	Kenan	Kenan	Kenan	Kenan
GEN 5:10!2	אֱנ֗וֹשׁ	אֱנוֹשׁ	Enosh	ενως	Enosh	以挪士	以挪士	Енос	Enoshi	enos		Enós	enos	Enosh	أَنُوشُ	Enos	Enosh	Enosh	Enos
GEN 5:10!6	קֵינָ֔ן	קֵינָן	Kenan	καιναν	Kenan	该南	該南	Каинана	Kenani	kenan	Kénan	Cainán		Kenan	ثَمَانِي	Kenan	Kenan	Kenan	Kenan
GEN 5:11!4	אֱנ֔וֹשׁ	אֱנוֹשׁ	Enosh	ενως	Enosh	以挪士	以挪士	Еноса	Enoshi	enos		Enós	enos	Enosh	أَنُوشُ	Enos	Enosh	Enosh	Enos
GEN 5:12!2	קֵינָ֖ן	קֵינָן	Kenan	καιναν	Kenan	该南	該南	Каинан	Kenani	kenan	Kénan	Cainán	kenan	Kenan	قِينَانَ	Kenan	Kenan	Kenan	Kenan
GEN 5:12!7	מַֽהֲלַלְאֵֽל	מַהֲלַלְאֵל	Mahalalel	μαλελεηλ	Mahalalel	玛勒列	瑪勒列	Малелеила	Mahalaleli	mahalaleel	Mahalaleel	Mahalaleel	mahalalel	Mahalalel	مَهْلَلْئِيلَ	Mahalalel	Mahalalel	Mahalalel	Mahalaleel
GEN 5:13!2	קֵינָ֗ן	קֵינָן	Kenan	καιναν	Kenan	该南	該南	Каинан	Kenani	kenan	Kénan	Cainán	kenan	Kenan	قِينَانُ	Kenan	Kenan	Kenan	Kenan
GEN 5:13!6	מַֽהֲלַלְאֵ֔ל	מַהֲלַלְאֵל	Mahalalel	μαλελεηλ	Mahalalel	玛勒列	瑪勒列	Малелеила	Mahalaleli	mahalaleel	Mahalaleel	Mahalaleel		Mahalalel	ثَمَانِي	Mahalalel	Mahalalel	Mahalalel	Mahalaleel
GEN 5:14!4	קֵינָ֔ן	קֵינָן	Kenan	καιναν	Kenan	该南	該南	Каинана	Kenani	kenan	Kénan	Cainán	kenan	Kenan	قِينَانُ	Kenan	Kenan	Kenan	Kenan
GEN 5:15!2	מַֽהֲלַלְאֵ֔ל	מַהֲלַלְאֵל	Mahalalel	μαλελεηλ	Mahalalel	玛勒列	瑪勒列	Малелеил	Mahalaleli	mahalaleel	Mahalaleel	Mahalaleel	mahalalel	Mahalalel	مَهْلَلْئِيلَ	Mahalalel	Mahalalel	Mahalalel	Mahalaleel
GEN 5:15!9	יָֽרֶד	יֶ֫רֶד	Jared		Yared	雅列	雅列	Иареда	Yaredi	yared	Jéred	Jared	jaret	Jared	يَارَدَ	Jared	Jared	Jared	Jared
GEN 5:16!2	מַֽהֲלַלְאֵ֗ל	מַהֲלַלְאֵל	Mahalalel	μαλελεηλ	Mahalalel	玛勒列	瑪勒列	Малелеил	Mahalaleli	mahalaleel	Mahalaleel	Mahalaleel	mahalalel	Mahalalel	مَهْلَلْئِيلُ	Mahalalel	Mahalalel	Mahalalel	Mahalaleel
GEN 5:16!6	יֶ֔רֶד	יֶ֫רֶד	Jared		Yared	雅列	雅列	Иареда	Yaredi	yared	Jéred	Jared		Jared	ثَمَانِي	Jared	Jared	Jared	Jared
